Marca,Modelo_LCD,Precio
SAMSUNG,A01,48000.0
SAMSUNG,A02 MARCO,58000.0
SAMSUNG,A02-A12-M12,47000.0
SAMSUNG,A02S-A03-A03S-A04E,46000.0
SAMSUNG,A02S MARCO,55000.0
SAMSUNG,A03S MARCO,55000.0
SAMSUNG,A03 MARCO,53000.0
SAMSUNG,A03 CORE,47000.0
SAMSUNG,A03 CORE MARCO,55000.0
SAMSUNG,47A04 INCELL,51000.0
SAMSUNG,A04 MARCO,54000.0
SAMSUNG,A04S INCELL,50000.0
SAMSUNG,A04S MARCO INCELL,55000.0
SAMSUNG,A05 INCELL,50000.0
SAMSUNG,A05 MARCO,56000.0
SAMSUNG,A05S INCELL,49000.0
SAMSUNG,A05S MARCO ,58000.0
SAMSUNG,A06,49000.0
SAMSUNG,J2 PRIME,47000.0
SAMSUNG,J2 CORE,45000.0
SAMSUNG,J4 INCELL,48000.0
SAMSUNG,J4 PLUS-J6 PLUS ,49000.0
SAMSUNG,J5 INCELL,50000.0
SAMSUNG,J5 PRIME,49000.0
SAMSUNG,J6 INCELL,47000.0
SAMSUNG,J7 PRIME,46000.0
SAMSUNG,J7 INCELL,48000.0
SAMSUNG,J8-J8 PLUS,48000.0
SAMSUNG,A6 PLUS INCELL,55000.0
SAMSUNG,A10 INCELL,45000.0
SAMSUNG,A10 MARCO,50000.0
SAMSUNG,A10S INCELL,50000.0
SAMSUNG,A10S MARCO,53000.0
SAMSUNG,A11 INCELL,52000.0
SAMSUNG,A11 MARCO,56000.0
SAMSUNG,A12 MARCO,53000.0
SAMSUNG,A13 INCELL,48000.0
SAMSUNG,A13 MARCO,53000.0
SAMSUNG,A14 INCELL 4G,57000.0
SAMSUNG,A14 INCELL 5G,53000.0
SAMSUNG,A14 5G MARCO,54000.0
SAMSUNG,A15 MARCO,52000.0
SAMSUNG,A15 INCELL,52000.0
SAMSUNG,A16 MARCO,64000.0
SAMSUNG,A20 INCELL,49000.0
SAMSUNG,A20 MARCO,53000.0
SAMSUNG,A20S INCELL,50000.0
SAMSUNG,A20S MARCO,53000.0
SAMSUNG,A21S INCELL,49000.0
SAMSUNG,A21S MARCO,52000.0
SAMSUNG,A22 MARCO 4G,56000.0
SAMSUNG,A22 INCELL 5G,48000.0
SAMSUNG,A22 MARCO 5G,56000.0
SAMSUNG,A23 INCELL,52000.0
SAMSUNG,A23 MARCO,59000.0
SAMSUNG,A24 INCELL,58000.0
SAMSUNG,A24 MARCO,59000.0
SAMSUNG,A24 MARCO OLED,145000.0
SAMSUNG,A25 MARCO,57000.0
SAMSUNG,A25 MARCO OLED,140000.0
SAMSUNG,A30 INCELL,51000.0
SAMSUNG,A30-A50 MARCO,53000.0
SAMSUNG,A30-A50 OLED,115000.0
SAMSUNG,A30S INCELL,51000.0
SAMSUNG,A30S MARCO,53000.0
SAMSUNG,A30S OLED,125000.0
SAMSUNG,A31 MARCO,55000.0
SAMSUNG,M31 MARCO,59000.0
SAMSUNG,A32 MARCO,56000.0
SAMSUNG,A32 MARCO 4G OLED,118000.0
SAMSUNG,A33MARCO4G,70000.0
SAMSUNG,A34 MARCO,63000.0
SAMSUNG,A34 MARCO OLED,160000.0
SAMSUNG,A35 MARCO,69000.0
SAMSUNG,A35 MARCO OLED,170000.0
SAMSUNG,A51 MARCO,58000.0
SAMSUNG,A51 MARCO OLED,120000.0
SAMSUNG,A52 MARCO,67000.0
SAMSUNG,A52 MARCO OLED,155000.0
SAMSUNG,A52 VIDVIE,80000.0
SAMSUNG,A53 MARCO,74000.0
SAMSUNG,A53 MARCO OLED,135000.0
SAMSUNG,A54 INCELL,57000.0
SAMSUNG,A54 MARCO,75000.0
SAMSUNG,A70 MARCO,57000.0
SAMSUNG,A70 MARCO OLED,150000.0
SAMSUNG,A71MARCO,56000.0
SAMSUNG,A71 MARCO OLED,145000.0
SAMSUNG,A72 MARCO,95000.0
SAMSUNG,A72 MARCO OLED,145000.0
SAMSUNG,S20 FE OLED,140000.0
SAMSUNG,S21 FE OLED,180000.0
HUAWEI,Y5P,48000.0
HUAWEI,Y5 2018,45000.0
HUAWEI,Y5 2019,48000.0
HUAWEI,Y6P,48000.0
HUAWEI,Y6 2018,51000.0
HUAWEI,Y6 2019,46000.0
HUAWEI,Y7A,48000.0
HUAWEI,Y7P,46000.0
HUAWEI,Y7 2018,46000.0
HUAWEI,Y7 2019,46000.0
HUAWEI,Y7-Y7 PRIME,48000.0
HUAWEI,Y8P,52000.0
HUAWEI,Y9A,50000.0
HUAWEI,Y9 2018,50000.0
HUAWEI,Y9 2019 INCELL,48000.0
HUAWEI,Y9 2019 OLED,60000.0
HUAWEI,Y9 PRIME INCELL,46000.0
HUAWEI,Y9 PRIME OLED,61000.0
HUAWEI,Y70,50000.0
HUAWEI,MATE 10 LITE,50000.0
HUAWEI,MATE 20 LITE,50000.0
HUAWEI,PSMART 2018,51000.0
HUAWEI,PSMART 2019 INC,50000.0
HUAWEI,PSMART 2019 OLED,63000.0
HUAWEI,P9 LITE,50000.0
HUAWEI,P10 LITE,54000.0
HUAWEI,P20 INCELL,68000.0
HUAWEI,P20 LITE,50000.0
HUAWEI,P30 INCELL,53000.0
HUAWEI,P30 LITE OLED,58000.0
HUAWEI,P30 PRO INCELL,55000.0
HUAWEI,P30 PRO OLED,63000.0
HUAWEI,P40 LITE OLED,61000.0
HONOR_NOVA,X6-X6S,47000.0
HONOR_NOVA,X6A,48000.0
HONOR_NOVA,X7,50000.0
HONOR_NOVA,X7A,50000.0
HONOR_NOVA,X7C,52000.0
HONOR_NOVA,X7B,52000.0
HONOR_NOVA,X8,51000.0
HONOR_NOVA,8X,53000.0
HONOR_NOVA,X8A-HONOR 90 LITE,53000.0
HONOR_NOVA,X8B OLED,135000.0
HONOR_NOVA,HONOR 50 LITE-NOVA 8I,58000.0
HONOR_NOVA,NOVA 5T,55000.0
HONOR_NOVA,NOVA Y70,50000.0
MOTOROLA,ONE,50000.0
MOTOROLA,ONE HYPER,58000.0
MOTOROLA,ONE VISIÓN-ACTIÓN,130000.0
MOTOROLA,ONE FUSIÓN,47000.0
MOTOROLA,E4 PLUS,50000.0
MOTOROLA,E5 PLUS,51000.0
MOTOROLA,E5 PLAY,50000.0
MOTOROLA,E6 PLUS,48000.0
MOTOROLA,E6 PLAY,50000.0
MOTOROLA,E6S-E6I,47000.0
MOTOROLA,E7-E7 POWER-E7I,47000.0
MOTOROLA,E13-E23,48000.0
MOTOROLA,E20,48000.0
MOTOROLA,E30-E40,48000.0
MOTOROLA,E22,51000.0
MOTOROLA,E32,51000.0
MOTOROLA,G13-G23,50000.0
MOTOROLA,G4 PLAY,57000.0
MOTOROLA,G04-G24,47000.0
MOTOROLA,G05-G15-G15 POWER,51000.0
MOTOROLA,G14-654,50000.0
MOTOROLA,G6 PLAY,50000.0
MOTOROLA,G7 PLAY,50000.0
MOTOROLA,G7 PLUS-G7,57000.0
MOTOROLA,G7 POWER,48000.0
MOTOROLA,G8 POWER,54000.0
MOTOROLA,G8 POWER LITE,50000.0
MOTOROLA,G8 PLAY-ONE MACRO,52000.0
MOTOROLA,G8 PLUS,55000.0
MOTOROLA,G9 PLAY-E7 PLUS,49000.0
MOTOROLA,G9 PLUS,60000.0
MOTOROLA,G9 POWER,51000.0
MOTOROLA,G20-G30,50000.0
MOTOROLA,G20 MARCO,53000.0
MOTOROLA,G22,47000.0
MOTOROLA,G22 MARCO,53000.0
MOTOROLA,G31 ,49000.0
MOTOROLA,G32,57000.0
MOTOROLA,G34 5G,48000.0
MOTOROLA,G42,60000.0
